ts,session,callsign,icao24,lat,lon,alt_ft,speed_kts,heading_deg,vs_fpm,flight_state,risk_level,prob_success,best_cell_prob,best_cell_color,best_cell_dist_nm,n_green_cells,n_yellow_cells,n_red_cells,top_option,wx_source,wx_confidence,wx_ceiling_ft,wx_wind_kts,wx_wind_dir_deg,wx_visibility_sm,terrain_live,tick_ms,n_runways_near,crowd_ready,runway_ready
2026-04-10T10:23:15Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,646,0,False,False
2026-04-10T10:23:18Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,611,0,False,False
2026-04-10T10:23:18Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,601,0,False,False
2026-04-10T10:23:20Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.467499,-81.31066,1700,179,43.42,,,CRITICAL,0.131,0.879,#2cb64f,2.42,81,0,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,True,650,0,False,False
2026-04-10T10:23:20Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,613,0,False,False
2026-04-10T10:23:22Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,606,0,False,False
2026-04-10T10:23:22Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.467499,-81.31066,1700,179,43.42,,,CRITICAL,0.131,0.883,#2cb64f,2.42,71,10,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,True,913,0,True,False
2026-04-10T10:23:24Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.467499,-81.31066,1700,179,43.42,,,CRITICAL,0.131,0.924,#2cb64f,0.3,28,53,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,False,630,0,False,False
2026-04-10T10:23:25Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,2066,0,False,False
2026-04-10T10:23:26Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.471024,-81.307174,1800,187.7,38.95,,,CRITICAL,0.126,0.878,#2cb64f,2.96,81,0,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,True,617,0,False,False
2026-04-10T10:23:28Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,False,708,0,False,False
2026-04-10T10:23:29Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.471024,-81.307174,1800,187.7,38.95,,,CRITICAL,0.126,0.878,#2cb64f,2.96,81,0,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,False,921,0,False,False
2026-04-10T10:23:30Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,612,0,False,False
2026-04-10T10:23:31Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.471024,-81.307174,1800,187.7,38.95,,,CRITICAL,0.126,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.3,28,15.53,True,708,0,False,False
2026-04-10T10:23:34Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.475911,-81.303621,1925,198.3,29.28,,,CRITICAL,0.12,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,1497,0,False,False
2026-04-10T10:23:35Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,4022,0,False,False
2026-04-10T10:23:36Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.475911,-81.303621,1925,198.3,29.28,,,CRITICAL,0.12,0.88,#2cb64f,2.34,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,624,0,False,False
2026-04-10T10:23:37Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.854,#2cb64f,0.85,47,34,0,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,672,0,False,False
2026-04-10T10:23:38Z,907d0d46-9c1b-4bfa-9839-592d6aad5409,DAL1201,a7a616,28.481404,-81.301198,2025,213.7,15.47,,,CRITICAL,0.109,0.924,#2cb64f,0.3,81,0,0,PRIMARY,open-meteo,approx,,5.5,27,15.41,True,619,0,False,False
2026-04-10T10:23:40Z,c1299696-fe6a-43f4-a24d-6adc04b9184e,,,28.6139,77.209,5000,100,90,,,MODERATE,0.631,0.924,#2cb64f,0.4,21,16,44,PRIMARY,open-meteo,approx,,7.8,302,15.0,True,731,0,False,False
